moniker,centralised_exchange_wallet,remarks,val_address,acc_address,prop_69_vote,tokens,shares,ts_ratio,height
Imperator.co,,,cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,cosmos1vvwtk805lxehwle9l4yudmq6mn0g32pxqjlrmt,VOTE_OPTION_NO,840978892440,840978892440,1,10562840
Allnodes.com ⚡️ 0% fee,,,cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,cosmos1n229vhepft6wnkt5tjpwmxdmcnfz55jv5c4tj7,VOTE_OPTION_ABSTAIN,807095780961,807176491322,0.999900009,10562840
DelegaNetworks ∞,,,cosmosvaloper1uutuwrwt3z2a5z8z3uasml3rftlpmu25aga5c6,cosmos1uutuwrwt3z2a5z8z3uasml3rftlpmu25cufp5f,VOTE_OPTION_ABSTAIN,794822125997,794822125997,1,10562840
Cypher Core,,,cosmosvaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x7z5r2qs,cosmos1pjmngrwcsatsuyy8m3qrunaun67sr9x78qhlvr,VOTE_OPTION_NO,752424561288,752499811191,0.9999000001,10562840
e-Money.com // validator.network,,,cosmosvaloper1sxx9mszve0gaedz5ld7qdkjkfv8z992ax69k08,cosmos1sxx9mszve0gaedz5ld7qdkjkfv8z992arw3rr5,VOTE_OPTION_NO,741960733260,742109147464,0.9998000103,10562840
ATEAM,,,cosmosvaloper14l0fp639yudfl46zauvv8rkzjgd4u0zk2aseys,cosmos14l0fp639yudfl46zauvv8rkzjgd4u0zk0fyvgr,VOTE_OPTION_ABSTAIN,726703665302,726921719841,0.9997000302,10562840
01node,,,cosmosvaloper17mggn4znyeyg25wd7498qxl7r2jhgue8u4qjcq,cosmos17mggn4znyeyg25wd7498qxl7r2jhgue8ep585n,VOTE_OPTION_YES,708910745687,708910745687,1,10562840
OKEx Pool,,mining pool,cosmosvaloper19yy989ka5usws6gsd8vl94y7l6ssgdwsrnscjc,cosmos19yy989ka5usws6gsd8vl94y7l6ssgdwsx8yd7t,VOTE_NIL,706638738210,706638738210,1,10562840
Stakecito,,,cosmosvaloper1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vfaqjfq,cosmos1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vvf589n,VOTE_OPTION_ABSTAIN,692268682475,692268682475,1,10562840
0base.vc,,,cosmosvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q46fe2xk,cosmos1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ladl29,VOTE_OPTION_NO,687817735421,687817735421,1,10562840
S16 Research Ventures,,,cosmosvaloper1uhnsxv6m83jj3328mhrql7yax3nge5svrv6t6c,cosmos1uhnsxv6m83jj3328mhrql7yax3nge5svxcw7kt,VOTE_OPTION_YES,668329738427,668597136873,0.9996000604,10562840
Simply Staking,,VC in Malta https://www.simply-vc.com.mt/,cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,cosmos124maqmcqv8tquy764ktz7cu0gxnzfw54k9cmz5,VOTE_OPTION_NO,639611346158,639611346158,1,10562840
Liqee,,,cosmosvaloper14jlpmqquh0gste6nzf4dn43kc8h50l6fmx6dfs,cosmos14jlpmqquh0gste6nzf4dn43kc8h50l6f7jwc9r,VOTE_OPTION_NO,630253249101,630316279850,0.9999000014,10562840
